11545,後足,あとあし,atoashi
11546,後々,あとあと,atoato
11551,跡形,あとかた,atokata
11552,後書き,あとがき,atogaki
11553,後釜,あとがま,atogama
11554,後先,あとさき,atosaki
11555,跡地,あとち,atochi
11556,跡継ぎ,あとつぎ,atotsugi
11561,跡取り,あととり,atotori
11562,後払い,あとばらい,atobarai
11563,後回し,あとまわし,atomawashi
11564,後戻り,あともどり,atomodori
11565,穴,あな,ana
11566,穴埋め,あなうめ,anaume
11611,穴熊,あなぐま,anaguma
11612,穴蔵,あなぐら,anagura
11613,穴子,あなご,anago
11614,あなた,あなた,anata
11615,穴場,あなば,anaba
11616,兄,あに,ani
11621,兄貴,あにき,aniki
11622,兄嫁,あによめ,aniyome
11623,姉,あね,ane
11624,あの世,あのよ,anoyo
11625,肋骨,あばらぼね,abarabone
11626,あばら家,あばらや,abaraya
11631,家鴨,あひる,ahiru
11632,虻,あぶ,abu
11633,あぶく,あぶく,abuku
11634,油,あぶら,abura
11635,油揚げ,あぶらあげ,aburaage
11636,脂汗,あぶらあせ,aburaase
11641,油売り,あぶらうり,aburauri
11642,油絵,あぶらえ,aburae
11643,油蝉,あぶらぜみ,aburazemi
11644,油菜,あぶらな,aburana
11645,脂身,あぶらみ,aburami
11646,油虫,あぶらむし,aburamushi
11651,あほ,あほ,aho
11652,尼,あま,ama
11653,雨脚,あまあし,amaashi
11654,雨音,あまおと,amaoto
11655,雨蛙,あまがえる,amagaeru
11656,雨傘,あまがさ,amagasa
11661,甘口,あまくち,amakuchi
11662,雨具,あまぐ,amagu
11663,雨靴,あまぐつ,amagutsu
11664,雨雲,あまぐも,amagumo
11665,雨乞い,あまごい,amagoi
11666,甘酒,あまざけ,amazake
12111,雨晒し,あまざらし,amazarashi
12112,あまた,あまた,amata
12113,雨垂れ,あまだれ,amadare
12114,尼寺,あまでら,amadera
12115,雨戸,あまど,amado
12116,天の川,あまのがわ,amanogawa
12121,雨漏り,あまもり,amamori
12122,雨宿り,あまやどり,amayadori
12123,余り,あまり,amari
12124,網,あみ,ami
12125,阿弥陀,あみだ,amida
12126,網棚,あみだな,amidana
12131,網戸,あみど,amido
12132,網の目,あみのめ,aminome
12133,網目,あみめ,amime
12134,網元,あみもと,amimoto
12135,編み物,あみもの,amimono
12136,雨,あめ,ame
12141,飴色,あめいろ,ameiro
12142,雨降,あめふらし,amefurashi
12143,菖蒲,あやめ,ayame
12144,鮎,あゆ,ayu
12145,粗,あら,ara
12146,洗い場,あらいば,araiba
12151,荒海,あらうみ,araumi
12152,荒稼ぎ,あらかせぎ,arakasegi
12153,粗探し,あらさがし,arasagashi
12154,嵐,あらし,arashi
12155,新手,あらて,arate
12156,荒波,あらなみ,aranami
12161,荒巻き,あらまき,aramaki
12162,あらまし,あらまし,aramashi
12163,荒物,あらもの,aramono
12164,霰,あられ,arare
12165,蟻,あり,ari
12166,有り明け,ありあけ,ariake
12211,在りか,ありか,arika
12212,有り金,ありがね,arigane
12213,有り様,ありさま,arisama
12214,在りし日,ありしひ,arishihi
12215,荒れ地,あれち,arechi
12216,荒れ野,あれの,areno
12221,泡,あわ,awa
12222,あわび,あわび,awabi
12223,泡盛,あわもり,awamori
12224,暗,あん,an
12225,暗雲,あんうん,anun
12226,暗記,あんき,anki
12231,案件,あんけん,anken
12232,餡子,あんこ,anko
12233,あんさん,あんさん,ansan
12234,安産,あんざん,anzan
12235,暗室,あんしつ,anshitsu
12236,安心,あんしん,anshin
12241,安息,あんそく,ansoku
12242,安息日,あんそくび,ansokubi
12243,安打,あんだ,anda
12244,安置,あんち,anchi
12245,安定,あんてい,antei
12246,暗転,あんてん,anten
12251,安堵,あんど,ando
12252,行灯,あんどん,andon
12253,案内,あんない,annai
12254,安寧,あんねい,annei
12255,暗躍,あんやく,anyaku
12256,威圧,いあつ,iatsu
12261,慰安,いあん,ian
12262,言い種,いいぐさ,iigusa
12263,言い過ぎ,いいすぎ,iisugi
12264,言い成り,いいなり,iinari
12265,言い値,いいね,iine
12266,言い分,いいぶん,iibun
12311,言い訳,いいわけ,iiwake
12312,医院,いいん,iin
12313,家柄,いえがら,iegara
12314,胃液,いえき,ieki
12315,家出,いえで,iede
